date_crawl,job_type,company_name,salary,location,time_remain,url
2025-05-14,Sr. Product Designer (UX) - Tối thiểu 5 năm kinh nghiệm,VUS - Anh Văn Hội Việt Mỹ,25.000.000 VND to 35.000.000 VND,Quận 1:  Hồ Chí Minh,và Công việc hết hạn trong 4 tuần tới,https://topdev.vn/viec-lam/sr-product-designer-ux-toi-thieu-5-nam-kinh-nghiem-vus-anh-van-hoi-viet-my-2036387?src=topdev_search&medium=searchresult
2025-05-14,Fullstack Python Developer,CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ DỊCH VỤ CÔNG NGHỆ GTSC VIỆT NAM,15.000.000 VND to 40.000.000 VND,Quận Thanh Xuân:  Hà Nội,và Công việc hết hạn trong 4 tuần tới,https://topdev.vn/viec-lam/fullstack-python-developer-cong-ty-co-phan-thuong-mai-va-dich-vu-cong-nghe-gtsc-viet-nam-2036358?src=topdev_search&medium=searchresult
2025-05-14,Middle/Senior Tester,CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ DỊCH VỤ CÔNG NGHỆ GTSC VIỆT NAM,15.000.000 VND to 25.000.000 VND,Quận Thanh Xuân:  Hà Nội,và Công việc hết hạn trong 4 tuần tới,https://topdev.vn/viec-lam/middle-senior-tester-cong-ty-co-phan-thuong-mai-va-dich-vu-cong-nghe-gtsc-viet-nam-2036357?src=topdev_search&medium=searchresult
2025-05-14,DevOps Engineer,CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ DỊCH VỤ CÔNG NGHỆ GTSC VIỆT NAM,Lên tới 35.000.000 VND,Quận Thanh Xuân:  Hà Nội,và Công việc hết hạn trong 4 tuần tới,https://topdev.vn/viec-lam/devops-engineer-cong-ty-co-phan-thuong-mai-va-dich-vu-cong-nghe-gtsc-viet-nam-2036362?src=topdev_search&medium=searchresult
2025-05-14,"Back-end Developer (C#, .NET)",CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ DỊCH VỤ CÔNG NGHỆ GTSC VIỆT NAM,25.000.000 VND to 40.000.000 VND,Quận Thanh Xuân:  Hà Nội,và Công việc hết hạn trong 4 tuần tới,https://topdev.vn/viec-lam/back-end-developer-c-net-cong-ty-co-phan-thuong-mai-va-dich-vu-cong-nghe-gtsc-viet-nam-2036367?src=topdev_search&medium=searchresult
2025-05-14,Remote AI Software Developer (Full-time/Part-time),CAZOODLE,Thương lượng,Quận Đống Đa:  Hà Nội,và Công việc hết hạn trong 4 tuần tới,https://topdev.vn/viec-lam/remote-ai-software-developer-full-time-part-time-cazoodle-2036380?src=topdev_search&medium=searchresult
2025-05-14,Data Engineer,CÔNG TY TNHH CUNG CẤP GIẢI PHÁP DỊCH VỤ GIÁ TRỊ GIA TĂNG (VIVAS),Thương lượng,Quận Cầu Giấy:  Hà Nội,và Công việc hết hạn trong 4 tuần tới,https://topdev.vn/viec-lam/data-engineer-cong-ty-tnhh-cung-cap-giai-phap-dich-vu-gia-tri-gia-tang-vivas-2036378?src=topdev_search&medium=searchresult
2025-05-14,IT Project Manager,BURNING BROS,Thương lượng,Thành phố Thủ Đức:  Hồ Chí Minh,và Công việc hết hạn trong 4 tuần tới,https://topdev.vn/viec-lam/it-project-manager-burning-bros-2036376?src=topdev_search&medium=searchresult
2025-05-14,Flutter Developer,BURNING BROS,Thương lượng,Thành phố Thủ Đức:  Hồ Chí Minh,và Công việc hết hạn trong 4 tuần tới,https://topdev.vn/viec-lam/flutter-developer-burning-bros-2036375?src=topdev_search&medium=searchresult
2025-05-14,Java Technical Lead,BURNING BROS,Thương lượng,Thành phố Thủ Đức:  Hồ Chí Minh,và Công việc hết hạn trong 4 tuần tới,https://topdev.vn/viec-lam/java-technical-lead-burning-bros-2036372?src=topdev_search&medium=searchresult
2025-05-14,TRUNG TÂM ĐỔI MỚI SÁNG TẠO - LẬP TRÌNH VIÊN JAVA FRESHER,Tổng Công ty Bưu điện Việt Nam (Vietnam Post),13.000.000 VND to 18.000.000 VND,Quận Nam Từ Liêm:  Hà Nội,và Công việc hết hạn trong 1 tuần tới,https://topdev.vn/viec-lam/trung-tam-doi-moi-sang-tao-lap-trinh-vien-java-fresher-tong-cong-ty-buu-dien-viet-nam-vietnam-post-2036011?src=topdev_search&medium=searchresult
2025-05-14,TRUNG TÂM ĐỔI MỚI SÁNG TẠO - LẬP TRÌNH VIÊN JAVA,Tổng Công ty Bưu điện Việt Nam (Vietnam Post),13.000.000 VND to 50.000.000 VND,Quận Nam Từ Liêm:  Hà Nội,và Công việc hết hạn trong 1 tuần tới,https://topdev.vn/viec-lam/trung-tam-doi-moi-sang-tao-lap-trinh-vien-java-tong-cong-ty-buu-dien-viet-nam-vietnam-post-2036032?src=topdev_search&medium=searchresult
2025-05-14,TMO - Chuyên Gia Cao Cấp Kiến Trúc Dữ Liệu,NGÂN HÀNG Á CHÂU (ACB),Thương lượng,Quận 3:  Hồ Chí Minh,và Công việc hết hạn trong 1 tuần tới,https://topdev.vn/viec-lam/tmo-chuyen-gia-cao-cap-kien-truc-du-lieu-ngan-hang-a-chau-acb-2036040?src=topdev_search&medium=searchresult
2025-05-14,TMO - Chuyên Gia Quản Lý Dự Án,NGÂN HÀNG Á CHÂU (ACB),Thương lượng,Quận 3:  Hồ Chí Minh,và Công việc hết hạn trong 1 tuần tới,https://topdev.vn/viec-lam/tmo-chuyen-gia-quan-ly-du-an-ngan-hang-a-chau-acb-2036044?src=topdev_search&medium=searchresult
